;chave;Município;Estado;Registro Correto;Similaridade
29;acreunago;ACREUNA - GO;Goiás;Acreúna;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
29;acreunago;ACREUNA - GO;Goiás;Alexânia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
32;acurn;ACU - RN;Rio Grande do Norte;Acari;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
32;acurn;ACU - RN;Rio Grande do Norte;Açu;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
33;adrianpolis;Adrianópolis;Paraná;Adrianópolis;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
33;adrianpolis;Adrianópolis;Paraná;Arapongas;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
8;abati;Abatiá;Paraná;Arapoti;%Similaridade0.5
33;adrianpolis;Adrianópolis;Paraná;Arapoti;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
33;adrianpolis;Adrianópolis;Paraná;Arapuã;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
34;adustina;Adustina;Bahia;Acajutiba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
34;adustina;Adustina;Bahia;Adustina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
34;adustina;Adustina;Bahia;Almadina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
34;adustina;Adustina;Bahia;Anagé;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
34;adustina;Adustina;Bahia;Andorinha;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
35;afogadosdaingazeirape;AFOGADOS DA INGAZEIRA/PE;Pernambuco;Afogados da Ingazeira;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
36;afonsocludio;Afonso Cláudio;Espírito Santo;Afonso Cláudio;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
36;afonsocludio;Afonso Cláudio;Espírito Santo;Afonso Cláudio;%Similaridade0.5
37;afonsocludioes;AFONSO CLÁUDIO/ES;Espírito Santo;Afonso Cláudio;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
